deal_id,sub_code,deal_name,status,fy,period,company,instrument_type,underlying,psl_npsl,investor_name,trustee_ar,trustee,ratio,borrowing_date,payout_date,mclr_linked_or_fixed,mclr_on_deal_date,spread,deal_roi,servicing_fee_pct,net_roi,no_of_pool_contracts,amount_securitised_deal_date,purchase_consideration_deal_date,rating,loss_estimation_rating,first_loss_facility_pct,overcollateral_pct,tranche,credit_enhancement_type,credit_enhancement_initial_amount,mrr_percent,stated_tenor_months,underlying_seasoning_months,true_sale_criteria_met,true_sale_assumption_note,processing_fees_paid,documentation_charges,external_ca_fees,legal_documentation_fees,rating_fees,trustee_fees_pa,arranger_fees
D0107,,Central-HCF-D0107,Active,FY25,FY25 Q1,IIFL Finance Limited,PTC,HCF,NPSL,Central Bank of India,Vistra ITCL,Axis Trustee,0.9239,2024-04-01,2024-05-01,Fixed,9.91,3.17,13.08,0.6425,11.8218,17267,64.96,60.17,AA(SO),AA(SO),0.0,0.0579,Senior,Overcollateralization,3.76,0.1,51,8,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.06,0.04,0.18,0.13,0.13,0.06,0.16
D0108,,South-BL-D0108,Active,FY25,FY25 Q1,IIFL Finance Limited,DA,BL,NPSL,South Indian Bank,IDBI Trusteeship,Axis Trustee,0.9279,2024-06-12,2024-07-12,Fixed,7.52,2.3,9.82,1.417,8.4574,16171,106.06,100.44,AA+(SO),AA+(SO),0.0,0.0,,None,0.0,0.05,12,0,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.11,0.15,0.26,0.25,0.29,0.1,0.27
D0109,,Punjab-LAP-D0109,Active,FY26,FY26 Q3,IIFL Finance Limited,DA,LAP,PSL,Punjab and Sind Bank,Catalyst Trusteeship,Catalyst Trusteeship,0.9143,2025-12-11,2026-01-11,MCLR Linked,5.82,3.24,9.06,0.7354,7.7112,11585,342.6,331.26,Unrated,Unrated,0.0,0.0,,None,0.0,0.05,51,16,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.34,0.46,0.94,0.38,0.93,0.25,0.86
D0110,,UCO-Gold-D0110,Active,FY26,FY26 Q3,IIFL Finance Limited,DA,Gold,PSL,UCO Bank,Vistra ITCL,IDBI Trusteeship,0.9155,2025-12-13,2026-01-13,Fixed,8.84,1.97,10.81,1.1843,9.9691,3384,163.8,157.27,AAA(SO),AAA(SO),0.0,0.0,,None,0.0,0.1,6,9,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.16,0.22,0.43,0.37,0.38,0.21,0.41
D0111,,DCB-HCF-D0111,Active,FY26,FY26 Q1,IIFL Finance Limited,DA,HCF,NPSL,DCB Bank,IDBI Trusteeship,IDBI Trusteeship,0.8621,2025-06-04,2025-07-04,MCLR Linked,6.62,2.82,9.44,1.7783,8.7244,10067,129.35,126.52,AAA(SO),AAA(SO),0.0,0.0,,None,0.0,0.05,56,17,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.13,0.17,0.18,0.19,0.44,0.07,0.32
D0112,,Central-LAP-D0112,Active,FY26,FY26 Q2,IIFL Finance Limited,PTC,LAP,NPSL,Central Bank of India,Axis Trustee,Vistra ITCL,0.947,2025-08-05,2025-09-05,MCLR Linked,11.83,1.51,13.34,1.1793,12.7066,19673,200.33,190.37,AA+(SO),AA+(SO),0.0,0.0,Senior,Cash Collateral,14.18,0.05,56,12,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.2,0.18,0.48,0.43,0.45,0.24,0.5
D0113,,RBL-HCF-D0113,Active,FY26,FY26 Q3,IIFL Finance Limited,DA,HCF,NPSL,RBL Bank,Vistra ITCL,Axis Trustee,0.9308,2025-12-07,2026-01-07,Fixed,7.15,2.75,9.9,1.2841,9.3747,4847,245.01,241.21,AA+(SO),AA+(SO),0.0,0.0,,None,0.0,0.05,68,18,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.25,0.16,0.57,0.32,0.83,0.16,0.61
D0114,,South-HCF-D0114,Active,FY25,FY25 Q1,IIFL Finance Limited,DA,HCF,NPSL,South Indian Bank,Vistra ITCL,Catalyst Trusteeship,0.8513,2024-05-23,2024-06-23,Fixed,7.34,2.58,9.92,0.877,8.7994,22635,287.7,266.75,Unrated,Unrated,0.0,0.0,,None,0.0,0.05,66,6,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.29,0.37,0.79,0.65,1.09,0.35,0.72
D0115,,UCO-BL-D0115,Active,FY25,FY25 Q3,IIFL Finance Limited,DA,BL,PSL,UCO Bank,IDBI Trusteeship,Vistra ITCL,0.9097,2024-10-25,2024-11-25,MCLR Linked,7.47,2.4,9.87,1.6605,8.7446,17337,77.64,72.37,AA(SO),AA(SO),0.0,0.0,,None,0.0,0.05,21,3,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.08,0.1,0.12,0.17,0.22,0.04,0.19
D0116,,Karur-BL-D0116,Active,FY26,FY26 Q2,IIFL Finance Limited,DA,BL,PSL,Karur Vysya Bank,Vistra ITCL,Axis Trustee,0.874,2025-08-03,2025-09-03,Fixed,10.72,1.82,12.54,1.4634,11.1214,7491,45.8,42.85,AA(SO),AA(SO),0.0,0.0,,None,0.0,0.05,20,11,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.05,0.03,0.05,0.11,0.11,0.06,0.11
D0117,,South-LAP-D0117,Active,FY25,FY25 Q4,IIFL Finance Limited,PTC,LAP,PSL,South Indian Bank,IDBI Trusteeship,Axis Trustee,0.9147,2025-01-01,2025-02-01,Fixed,10.45,2.25,12.7,1.9096,11.4531,21849,178.08,167.53,AAA(SO),AAA(SO),0.0,0.0,Senior,None,0.0,0.05,40,16,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.18,0.12,0.34,0.27,0.31,0.1,0.45
D0118,,Aditya-BL-D0118,Active,FY25,FY25 Q3,IIFL Finance Limited,DA,BL,NPSL,Aditya Birla Capital Limited,Vistra ITCL,Catalyst Trusteeship,0.8782,2024-11-09,2024-12-09,Fixed,8.72,2.31,11.03,1.89,10.1486,18025,20.66,19.98,AAA(SO),AAA(SO),0.0,0.0,,None,0.0,0.1,23,8,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.02,0.03,0.02,0.03,0.04,0.03,0.05
D0119,,Bank-HCF-D0119,Active,FY27,FY27 Q1,IIFL Finance Limited,DA,HCF,PSL,Bank of Maharashtra,IDBI Trusteeship,IDBI Trusteeship,0.8721,2026-05-28,2026-06-28,MCLR Linked,10.03,2.25,12.28,1.7521,11.5857,4538,200.43,192.18,A+(SO),A+(SO),0.0,0.0,,None,0.0,0.05,61,17,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.2,0.14,0.52,0.46,0.73,0.29,0.5
D0120,,UCO-HCF-D0120,Active,FY26,FY26 Q4,IIFL Finance Limited,DA,HCF,NPSL,UCO Bank,Vistra ITCL,Axis Trustee,0.8669,2026-01-03,2026-02-03,Fixed,8.24,1.89,10.13,0.9698,8.8443,22497,333.77,315.41,Unrated,Unrated,0.0,0.0,,None,0.0,0.05,79,15,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.33,0.4,0.76,0.47,0.8,0.39,0.83
D0121,,Central-LAP-D0121,Active,FY27,FY27 Q1,IIFL Finance Limited,DA,LAP,PSL,Central Bank of India,Vistra ITCL,Axis Trustee,0.9154,2026-04-10,2026-05-10,MCLR Linked,9.47,1.72,11.19,0.7229,10.2975,5087,297.0,291.09,AAA(SO),AAA(SO),0.0,0.0,,None,0.0,0.1,37,15,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.3,0.41,0.65,0.68,0.54,0.3,0.74
D0122,,IDBI-LAP-D0122,Active,FY26,FY26 Q4,IIFL Finance Limited,PTC,LAP,PSL,IDBI Bank,Vistra ITCL,Axis Trustee,0.897,2026-01-08,2026-02-08,MCLR Linked,9.71,3.11,12.82,1.182,12.2736,5717,268.66,249.81,AA+(SO),AA+(SO),0.0,0.0759,Senior,Overcollateralization,20.39,0.05,67,10,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.27,0.4,0.44,0.55,0.75,0.36,0.67
D0123,,UCO-BL-D0123,Active,FY26,FY26 Q1,IIFL Finance Limited,DA,BL,PSL,UCO Bank,Vistra ITCL,IDBI Trusteeship,0.865,2025-04-21,2025-05-21,MCLR Linked,8.02,2.68,10.7,0.736,9.598,7803,188.08,177.99,AA(SO),AA(SO),0.0,0.0,,None,0.0,0.05,21,5,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.19,0.25,0.44,0.31,0.44,0.12,0.47
D0124,,Karur-LAP-D0124,Active,FY26,FY26 Q3,IIFL Finance Limited,DA,LAP,NPSL,Karur Vysya Bank,Catalyst Trusteeship,IDBI Trusteeship,0.8949,2025-12-27,2026-01-27,MCLR Linked,8.86,1.99,10.85,1.9892,9.4827,21128,207.12,192.89,AA+(SO),AA+(SO),0.0,0.0,,None,0.0,0.05,47,12,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.21,0.14,0.55,0.39,0.72,0.27,0.52
D0125,,DCB-BL-D0125,Active,FY25,FY25 Q2,IIFL Finance Limited,PTC,BL,PSL,DCB Bank,Axis Trustee,IDBI Trusteeship,0.9402,2024-09-24,2024-10-24,MCLR Linked,10.46,2.69,13.15,1.3089,12.6488,4057,91.99,87.11,Unrated,Unrated,0.0315,0.0,Senior,First Loss Guarantee,2.9,0.1,21,15,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.09,0.13,0.22,0.15,0.23,0.13,0.23
D0126,,Bandhan-SME-D0126,Active,FY27,FY27 Q1,IIFL Finance Limited,DA,SME,PSL,Bandhan Bank,Axis Trustee,IDBI Trusteeship,0.9188,2026-04-13,2026-05-13,MCLR Linked,7.47,3.11,10.58,0.9739,9.7177,8118,157.54,147.74,Unrated,Unrated,0.0,0.0,,None,0.0,0.1,30,17,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.16,0.1,0.36,0.22,0.57,0.15,0.39
D0127,,South-BL-D0127,Active,FY26,FY26 Q1,IIFL Finance Limited,DA,BL,NPSL,South Indian Bank,IDBI Trusteeship,Catalyst Trusteeship,0.8714,2025-04-25,2025-05-25,Fixed,7.32,2.6,9.92,1.1008,9.0816,16351,74.87,71.81,AA(SO),AA(SO),0.0,0.0,,None,0.0,0.1,14,2,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.07,0.08,0.18,0.15,0.14,0.11,0.19
D0128,,AU-Gold-D0128,Active,FY26,FY26 Q3,IIFL Finance Limited,PTC,Gold,PSL,AU Small Finance Bank,Catalyst Trusteeship,IDBI Trusteeship,0.9115,2025-11-14,2025-12-14,Fixed,7.37,2.03,9.4,1.511,8.5403,13093,41.81,38.58,Unrated,Unrated,0.0,0.0,Senior,None,0.0,0.05,7,10,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.04,0.05,0.12,0.05,0.09,0.04,0.1
D0129,,Indian-LAP-D0129,Active,FY25,FY25 Q1,IIFL Finance Limited,DA,LAP,NPSL,Indian Overseas Bank,Catalyst Trusteeship,Vistra ITCL,0.9376,2024-04-24,2024-05-24,Fixed,10.54,2.6,13.14,1.7197,12.0651,7915,131.4,128.39,A+(SO),A+(SO),0.0,0.0,,None,0.0,0.05,62,14,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.13,0.16,0.39,0.24,0.45,0.17,0.33
D0130,,Central-HCF-D0130,Closed,FY25,FY25 Q1,IIFL Finance Limited,DA,HCF,PSL,Central Bank of India,IDBI Trusteeship,Axis Trustee,0.8814,2024-04-16,2024-05-16,MCLR Linked,6.53,2.77,9.3,0.8278,8.2263,10845,241.77,226.32,Unrated,Unrated,0.0,0.0,,None,0.0,0.05,63,12,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.24,0.17,0.6,0.58,0.48,0.3,0.6
D0131,,Karur-HCF-D0131,Closed,FY25,FY25 Q3,IIFL Finance Limited,PTC,HCF,NPSL,Karur Vysya Bank,IDBI Trusteeship,Vistra ITCL,0.8898,2024-10-08,2024-11-08,MCLR Linked,7.38,2.74,10.12,1.6253,9.4918,3071,275.94,256.18,Unrated,Unrated,0.0908,0.0,Senior,First Loss Guarantee,25.06,0.1,71,13,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.28,0.28,0.51,0.66,0.44,0.23,0.69
D0132,,Aditya-LAP-D0132,Active,FY26,FY26 Q1,IIFL Finance Limited,PTC,LAP,NPSL,Aditya Birla Capital Limited,Vistra ITCL,Axis Trustee,0.868,2025-06-11,2025-07-11,MCLR Linked,10.58,1.52,12.1,0.6967,11.0241,12348,142.11,131.74,Unrated,Unrated,0.0,0.0,Senior,Cash Collateral,11.07,0.05,63,17,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.14,0.1,0.17,0.2,0.3,0.13,0.36
D0133,,Bank-SME-D0133,Active,FY26,FY26 Q4,IIFL Finance Limited,DA,SME,PSL,Bank of Maharashtra,Vistra ITCL,Axis Trustee,0.9339,2026-03-05,2026-04-05,Fixed,9.61,1.52,11.13,0.6445,9.8854,21165,182.37,180.49,A+(SO),A+(SO),0.0,0.0,,None,0.0,0.05,42,7,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.18,0.14,0.31,0.33,0.64,0.15,0.46
D0134,,IDBI-Gold-D0134,Active,FY26,FY26 Q3,IIFL Finance Limited,DA,Gold,NPSL,IDBI Bank,Axis Trustee,Catalyst Trusteeship,0.8579,2025-11-07,2025-12-07,MCLR Linked,8.8,2.8,11.6,1.0154,10.7865,11152,343.09,322.48,A+(SO),A+(SO),0.0,0.0,,None,0.0,0.1,8,5,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.34,0.4,0.83,0.65,0.85,0.48,0.86
D0135,,Indian-HCF-D0135,Active,FY26,FY26 Q1,IIFL Finance Limited,DA,HCF,PSL,Indian Overseas Bank,Vistra ITCL,IDBI Trusteeship,0.8584,2025-06-14,2025-07-14,MCLR Linked,6.54,3.21,9.75,1.8974,8.8602,24875,258.8,250.09,AA+(SO),AA+(SO),0.0,0.0,,None,0.0,0.05,78,6,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.26,0.19,0.64,0.43,0.47,0.27,0.65
D0136,,Punjab-Gold-D0136,Active,FY25,FY25 Q4,IIFL Finance Limited,PTC,Gold,PSL,Punjab and Sind Bank,Axis Trustee,Vistra ITCL,0.8866,2025-02-28,2025-03-28,Fixed,10.81,2.58,13.39,0.8897,12.5864,23359,198.76,184.74,A+(SO),A+(SO),0.0,0.0473,Senior,Overcollateralization,9.4,0.05,11,8,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.2,0.1,0.52,0.45,0.47,0.19,0.5
D0137,,Central-HCF-D0137,Active,FY26,FY26 Q2,IIFL Finance Limited,PTC,HCF,NPSL,Central Bank of India,Vistra ITCL,Axis Trustee,0.8688,2025-07-10,2025-08-10,Fixed,6.68,2.36,9.04,0.6027,8.4034,18463,215.0,209.79,Unrated,Unrated,0.0,0.0,Senior,Cash Collateral,14.13,0.1,62,12,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.21,0.13,0.41,0.36,0.7,0.21,0.54
D0138,,Bank-Gold-D0138,Active,FY26,FY26 Q2,IIFL Samasta Finance,DA,Gold,NPSL,Bank of Maharashtra,Catalyst Trusteeship,IDBI Trusteeship,0.8556,2025-09-01,2025-10-01,Fixed,8.14,1.7,9.84,1.6635,9.2686,768,56.89,54.08,A+(SO),A+(SO),0.0,0.0,,None,0.0,0.05,12,8,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.06,0.06,0.08,0.13,0.2,0.08,0.14
D0139,,Karur-HCF-D0139,Active,FY26,FY26 Q1,IIFL Finance Limited,PTC,HCF,PSL,Karur Vysya Bank,Catalyst Trusteeship,IDBI Trusteeship,0.9133,2025-06-08,2025-07-08,Fixed,10.75,1.57,12.32,0.9868,11.6526,22323,4.81,4.67,AA(SO),AA(SO),0.1184,0.0,Subordinate,First Loss Guarantee,0.57,0.05,78,9,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.0,0.0,0.01,0.01,0.01,0.0,0.01
D0140,,Indian-HCF-D0140,Active,FY27,FY27 Q1,IIFL Finance Limited,DA,HCF,NPSL,Indian Overseas Bank,Axis Trustee,IDBI Trusteeship,0.8521,2026-04-03,2026-05-03,Fixed,7.62,2.5,10.12,1.0667,8.8956,20984,326.83,323.49,AA+(SO),AA+(SO),0.0,0.0,,None,0.0,0.1,56,11,False,True-sale status not independently verified for this synthetic deal -- flagged for legal review.,0.33,0.25,0.35,0.67,0.95,0.34,0.82
D0141,,Indian-SME-D0141,Active,FY25,FY25 Q4,IIFL Finance Limited,DA,SME,PSL,Indian Overseas Bank,Vistra ITCL,Catalyst Trusteeship,0.9158,2025-03-11,2025-04-11,MCLR Linked,7.08,3.16,10.24,1.3084,9.3525,10188,38.07,35.44,A+(SO),A+(SO),0.0,0.0,,None,0.0,0.05,36,6,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.04,0.04,0.08,0.07,0.12,0.03,0.1
D0142,,Aditya-Gold-D0142,Active,FY25,FY25 Q1,IIFL Finance Limited,DA,Gold,PSL,Aditya Birla Capital Limited,IDBI Trusteeship,Axis Trustee,0.9428,2024-06-02,2024-07-02,MCLR Linked,6.33,3.25,9.58,1.7481,8.6119,1542,50.86,47.47,A+(SO),A+(SO),0.0,0.0,,None,0.0,0.05,8,6,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.05,0.06,0.09,0.11,0.19,0.07,0.13
D0143,,South-BL-D0143,Active,FY26,FY26 Q4,IIFL Finance Limited,PTC,BL,NPSL,South Indian Bank,Axis Trustee,Catalyst Trusteeship,0.8667,2026-03-03,2026-04-03,MCLR Linked,11.1,1.66,12.76,0.7706,11.8584,24262,336.8,312.15,AA+(SO),AA+(SO),0.0,0.0,Senior,Cash Collateral,20.65,0.05,18,15,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.34,0.28,0.44,0.84,0.88,0.29,0.84
D0144,,IDBI-BL-D0144,Active,FY26,FY26 Q1,IIFL Finance Limited,DA,BL,PSL,IDBI Bank,IDBI Trusteeship,Vistra ITCL,0.8507,2025-05-25,2025-06-25,Fixed,8.7,3.15,11.85,1.9766,11.1352,7509,218.82,209.94,AA(SO),AA(SO),0.0,0.0,,None,0.0,0.05,18,3,False,True-sale status not independently verified for this synthetic deal -- flagged for legal review.,0.22,0.18,0.56,0.53,0.78,0.31,0.55
D0145,,Punjab-Gold-D0145,Closed,FY25,FY25 Q2,IIFL Finance Limited,PTC,Gold,PSL,Punjab and Sind Bank,Axis Trustee,Catalyst Trusteeship,0.928,2024-08-05,2024-09-05,Fixed,11.0,2.0,13.0,1.8828,12.1656,13600,286.71,265.62,AAA(SO),AAA(SO),0.0812,0.0,Senior,First Loss Guarantee,23.28,0.05,11,4,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.29,0.4,0.54,0.69,0.52,0.36,0.72
D0146,,Bandhan-HCF-D0146,Active,FY25,FY25 Q1,IIFL Finance Limited,PTC,HCF,NPSL,Bandhan Bank,Vistra ITCL,Catalyst Trusteeship,0.8899,2024-05-10,2024-06-10,Fixed,7.81,2.63,10.44,1.1517,9.2421,2155,183.3,171.47,A+(SO),A+(SO),0.0,0.0798,Senior,Overcollateralization,14.63,0.05,73,11,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.18,0.23,0.36,0.24,0.46,0.2,0.46
D0147,,Aditya-SME-D0147,Active,FY26,FY26 Q1,IIFL Finance Limited,PTC,SME,PSL,Aditya Birla Capital Limited,Vistra ITCL,IDBI Trusteeship,0.9258,2025-05-11,2025-06-11,MCLR Linked,9.43,2.65,12.08,1.7791,11.4676,11913,240.04,227.95,AAA(SO),AAA(SO),0.0,0.0,Senior,Cash Collateral,11.4,0.1,43,6,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.24,0.13,0.7,0.57,0.88,0.32,0.6
D0148,,RBL-MFI-D0148,Active,FY25,FY25 Q4,IIFL Finance Limited,PTC,MFI,PSL,RBL Bank,Axis Trustee,Catalyst Trusteeship,0.8567,2025-01-15,2025-02-15,MCLR Linked,7.51,2.98,10.49,1.4906,9.327,8975,83.27,79.66,AA+(SO),AA+(SO),0.0794,0.0,Senior,First Loss Guarantee,6.61,0.05,12,3,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.08,0.12,0.14,0.1,0.19,0.12,0.21
D0149,,Federal-SME-D0149,Active,FY26,FY26 Q4,IIFL Finance Limited,DA,SME,NPSL,Federal Bank,Vistra ITCL,Vistra ITCL,0.8736,2026-02-04,2026-03-04,MCLR Linked,10.6,2.47,13.07,1.9674,12.0687,15507,77.45,73.97,AAA(SO),AAA(SO),0.0,0.0,,None,0.0,0.05,34,17,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.08,0.1,0.17,0.18,0.29,0.1,0.19
D0150,,South-BL-D0150,Active,FY25,FY25 Q4,IIFL Finance Limited,PTC,BL,NPSL,South Indian Bank,IDBI Trusteeship,IDBI Trusteeship,0.8817,2025-02-13,2025-03-13,MCLR Linked,7.14,2.26,9.4,1.336,7.9514,14474,154.81,148.63,AA(SO),AA(SO),0.0,0.0,Senior,Cash Collateral,9.69,0.05,15,1,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.15,0.1,0.25,0.36,0.51,0.2,0.39
D0151,,South-LAP-D0151,Active,FY27,FY27 Q1,IIFL Finance Limited,DA,LAP,NPSL,South Indian Bank,Vistra ITCL,IDBI Trusteeship,0.9352,2026-06-21,2026-07-21,MCLR Linked,11.15,2.05,13.2,1.2372,12.5625,20553,50.77,47.36,Unrated,Unrated,0.0,0.0,,None,0.0,0.05,37,17,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.05,0.04,0.05,0.11,0.08,0.04,0.13
D0152,,RBL-SME-D0152,Closed,FY25,FY25 Q3,IIFL Finance Limited,DA,SME,PSL,RBL Bank,Axis Trustee,Axis Trustee,0.9327,2024-10-25,2024-11-25,Fixed,6.39,3.41,9.8,0.5636,8.3042,11146,305.49,291.53,A+(SO),A+(SO),0.0,0.0,,None,0.0,0.05,47,17,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.31,0.31,0.55,0.64,0.88,0.31,0.76
D0153,,South-SME-D0153,Active,FY25,FY25 Q4,IIFL Finance Limited,PTC,SME,NPSL,South Indian Bank,IDBI Trusteeship,Axis Trustee,0.859,2025-01-25,2025-02-25,MCLR Linked,8.74,2.34,11.08,0.9861,9.9314,15690,246.13,242.01,Unrated,Unrated,0.1047,0.0,Senior,First Loss Guarantee,25.77,0.1,28,11,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.25,0.3,0.33,0.52,0.43,0.3,0.62
D0154,,UCO-Gold-D0154,Active,FY26,FY26 Q4,IIFL Finance Limited,DA,Gold,NPSL,UCO Bank,IDBI Trusteeship,Catalyst Trusteeship,0.9399,2026-03-26,2026-04-26,MCLR Linked,10.67,2.72,13.39,1.9407,12.8865,6099,141.86,134.29,AA+(SO),AA+(SO),0.0,0.0,,None,0.0,0.05,12,9,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.14,0.18,0.15,0.25,0.39,0.19,0.35
D0155,,Karur-SME-D0155,Active,FY26,FY26 Q2,IIFL Finance Limited,DA,SME,NPSL,Karur Vysya Bank,Catalyst Trusteeship,Catalyst Trusteeship,0.8609,2025-07-15,2025-08-15,MCLR Linked,9.19,1.66,10.85,1.9906,10.1887,20808,96.98,92.94,AA+(SO),AA+(SO),0.0,0.0,,None,0.0,0.05,44,8,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.1,0.08,0.23,0.2,0.28,0.1,0.24
D0156,,Indian-HCF-D0156,Active,FY25,FY25 Q1,IIFL Finance Limited,DA,HCF,NPSL,Indian Overseas Bank,Vistra ITCL,Axis Trustee,0.9109,2024-05-03,2024-06-03,MCLR Linked,7.15,3.3,10.45,0.9747,9.4246,2627,269.08,263.44,AA(SO),AA(SO),0.0,0.0,,None,0.0,0.05,61,15,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.27,0.4,0.46,0.32,0.78,0.27,0.67
D0157,,Bandhan-LAP-D0157,Active,FY26,FY26 Q3,IIFL Finance Limited,DA,LAP,PSL,Bandhan Bank,Vistra ITCL,Vistra ITCL,0.929,2025-11-08,2025-12-08,MCLR Linked,8.73,3.46,12.19,0.9617,11.1833,4364,54.6,52.01,Unrated,Unrated,0.0,0.0,,None,0.0,0.1,57,18,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.05,0.04,0.06,0.11,0.13,0.07,0.14
D0158,,Karur-SME-D0158,Active,FY25,FY25 Q4,IIFL Finance Limited,PTC,SME,PSL,Karur Vysya Bank,IDBI Trusteeship,Vistra ITCL,0.9341,2025-02-22,2025-03-22,MCLR Linked,9.57,1.57,11.14,1.0087,10.2648,18095,2.34,2.24,A+(SO),A+(SO),0.0,0.037,Subordinate,Overcollateralization,0.09,0.1,24,13,True,"Assumed true sale: originator retains servicing rights only, no equitable interest retained beyond MRR.",0.0,0.0,0.0,0.0,0.0,0.0,0.01
D0159,,AU-HCF-D0159,Active,FY25,FY25 Q1,IIFL Finance Limited,DA,HCF,PSL,AU Small Finance Bank,Vistra ITCL,Axis Trustee,0.9232,2024-05-09,2024-06-09,Fixed,9.26,1.98,11.24,1.2854,9.9645,17706,292.87,275.64,AAA(SO),AAA(SO),0.0,0.0,,None,0.0,0.1,80,13,True,Assumed true sale: outright assignment of receivables; assignee holds pro-rata beneficial interest in the underlying loans.,0.29,0.19,0.8,0.65,1.13,0.34,0.73
D0160,,RBL-SME-D0160,Active,FY26,FY26 Q1,IIFL Samasta Finance,PTC,SME,NPSL,RBL Bank,Vistra ITCL,Vistra ITCL,0.9273,2025-04-23,2025-05-23,Fixed,11.16,1.73,12.89,1.5067,12.1173,19973,327.33,316.89,AAA(SO),AAA(SO),0.1085,0.0,Senior,First Loss Guarantee,35.52,0.1,48,9,True,Assumed true sale: SPV holds legal title to the pool; no recourse to originator beyond the stated credit enhancement.,0.33,0.22,0.4,0.8,0.95,0.2,0.82
